Starter,,,,Survivor,,,,Explorer,,,,Expert,,,
TOPIC OF THE DAY,,,School: In the Classroom,TOPIC OF THE DAY,,,Childhood Memories,TOPIC OF THE DAY,,,Greetings,TOPIC OF THE DAY,,,Procrastinating
Today,Weekday,Date,Topic,Today,Weekday,Date,Topic,Today,Weekday,Date,Topic,Today,Weekday,Date,Topic
 ,Friday,31 mar. 2023,Describing People: Appearance, ,Friday,31 mar. 2023,"Faster, Higher, Stronger", ,Friday,31 mar. 2023,How to Save Money, ,Friday,31 mar. 2023,Let's Go Outside
 ,Saturday,01 Apr 2023,Describing People: Appearance, ,Saturday,01 Apr 2023,"Faster, Higher, Stronger", ,Saturday,01 Apr 2023,How to Save Money, ,Saturday,01 Apr 2023,Let's Go Outside
 ,Monday,03 Apr 2023,Describing People: Personality, ,Monday,03 Apr 2023,The Power of Art, ,Monday,03 Apr 2023,Perfect Companions, ,Monday,03 Apr 2023,Medical Tourism
 ,Tuesday,04 Apr 2023,Describing People: Personality, ,Tuesday,04 Apr 2023,The Power of Art, ,Tuesday,04 Apr 2023,Perfect Companions, ,Tuesday,04 Apr 2023,Medical Tourism
 ,Wednesday,05 Apr 2023,Describing People: Personality, ,Wednesday,05 Apr 2023,A Helping Hand, ,Wednesday,05 Apr 2023,Till Death Do Us Part, ,Wednesday,05 Apr 2023,In the Year 2525 ...
 ,Thursday,06 Apr 2023,Describing People: Feelings, ,Thursday,06 Apr 2023,A Helping Hand, ,Thursday,06 Apr 2023,Till Death Do Us Part, ,Thursday,06 Apr 2023,In the Year 2525 ...
 ,Friday,07 Apr 2023,Describing People: Feelings, ,Friday,07 Apr 2023,Reuse It!, ,Friday,07 Apr 2023,High-Tech Gloves, ,Friday,07 Apr 2023,Addressing Violence
 ,Saturday,08 Apr 2023,Describing People: Feelings, ,Saturday,08 Apr 2023,Reuse It!, ,Saturday,08 Apr 2023,High-Tech Gloves, ,Saturday,08 Apr 2023,Addressing Violence
 ,Monday,10 Apr 2023,Entertainment: TV, ,Monday,10 Apr 2023,Texting Can Kill, ,Monday,10 Apr 2023,Keeping in Shape, ,Monday,10 Apr 2023,Retro Life
 ,Tuesday,11 Apr 2023,Entertainment: TV, ,Tuesday,11 Apr 2023,Texting Can Kill, ,Tuesday,11 Apr 2023,Keeping in Shape, ,Tuesday,11 Apr 2023,Retro Life
 ,Wednesday,12 Apr 2023,Entertainment: TV, ,Wednesday,12 Apr 2023,Making a Difference, ,Wednesday,12 Apr 2023,Against the Evil Eye, ,Wednesday,12 Apr 2023,Poaching
 ,Thursday,13 Apr 2023,Entertainment: Movies, ,Thursday,13 Apr 2023,Making a Difference, ,Thursday,13 Apr 2023,Against the Evil Eye, ,Thursday,13 Apr 2023,Poaching
 ,Friday,14 Apr 2023,Entertainment: Movies, ,Friday,14 Apr 2023,Disconnect and Reconnect, ,Friday,14 Apr 2023,Let's See a Movie, ,Friday,14 Apr 2023,Mind Your Manners
 ,Saturday,15 Apr 2023,Entertainment: Movies, ,Saturday,15 Apr 2023,Disconnect and Reconnect, ,Saturday,15 Apr 2023,Let's See a Movie, ,Saturday,15 Apr 2023,Mind Your Manners
 ,Monday,17 Apr 2023,About Me: Getting to Know You, ,Monday,17 Apr 2023,Time to Spare, ,Monday,17 Apr 2023,A Dream Workshop, ,Monday,17 Apr 2023,City Breaks
 ,Tuesday,18 Apr 2023,About Me: Getting to Know You, ,Tuesday,18 Apr 2023,Time to Spare, ,Tuesday,18 Apr 2023,A Dream Workshop, ,Tuesday,18 Apr 2023,City Breaks
 ,Wednesday,19 Apr 2023,About Me: Getting to Know You, ,Wednesday,19 Apr 2023,"Mirror, Mirror, on the Wall", ,Wednesday,19 Apr 2023,Whiz Kid, ,Wednesday,19 Apr 2023,Better Safe than Sorry
 ,Thursday,20 Apr 2023,About Me: Where Are You From?, ,Thursday,20 Apr 2023,"Mirror, Mirror, on the Wall", ,Thursday,20 Apr 2023,Whiz Kid, ,Thursday,20 Apr 2023,Better Safe than Sorry
 ,Friday,21 Apr 2023,About Me: Where Are You From?, ,Friday,21 Apr 2023,Studying Abroad, ,Friday,21 Apr 2023,Breaking News, ,Friday,21 Apr 2023,Doing the Impossible
 ,Saturday,22 Apr 2023,About Me: Where Are You From?, ,Saturday,22 Apr 2023,Studying Abroad, ,Saturday,22 Apr 2023,Breaking News, ,Saturday,22 Apr 2023,Doing the Impossible
 ,Monday,24 Apr 2023,About Me: This Is My Family, ,Monday,24 Apr 2023,Family Vacations, ,Monday,24 Apr 2023,Reality Talent Shows, ,Monday,24 Apr 2023,Who's to Blame?
 ,Tuesday,25 Apr 2023,About Me: This Is My Family, ,Tuesday,25 Apr 2023,Family Vacations, ,Tuesday,25 Apr 2023,Reality Talent Shows, ,Tuesday,25 Apr 2023,Who's to Blame?
 ,Wednesday,26 Apr 2023,About Me: This Is My Family, ,Wednesday,26 Apr 2023,Giving and Receiving, ,Wednesday,26 Apr 2023,What a Mess!, ,Wednesday,26 Apr 2023,Teen Tycoon
 ,Thursday,27 Apr 2023,School: In the Classroom, ,Thursday,27 Apr 2023,Giving and Receiving, ,Thursday,27 Apr 2023,What a Mess!, ,Thursday,27 Apr 2023,Teen Tycoon
 ,Friday,28 Apr 2023,School: In the Classroom, ,Friday,28 Apr 2023,Childhood Memories, ,Friday,28 Apr 2023,Greetings, ,Friday,28 Apr 2023,Procrastinating
 ,Saturday,29 Apr 2023,School: In the Classroom, ,Saturday,29 Apr 2023,Childhood Memories, ,Saturday,29 Apr 2023,Greetings, ,Saturday,29 Apr 2023,Procrastinating
 ,Monday,01 May 2023,School: At School, ,Monday,01 May 2023,Fast Food, ,Monday,01 May 2023,Online Shopping, ,Monday,01 May 2023,Movie Ratings
 ,Tuesday,02 May 2023,School: At School, ,Tuesday,02 May 2023,Fast Food, ,Tuesday,02 May 2023,Online Shopping, ,Tuesday,02 May 2023,Movie Ratings
 ,Wednesday,03 May 2023,School: At School, ,Wednesday,03 May 2023,What Is Success?, ,Wednesday,03 May 2023,Tiger Moms, ,Wednesday,03 May 2023,Vegetarianism - Yes or No?
 ,Thursday,04 May 2023,Time: My Day, ,Thursday,04 May 2023,What Is Success?, ,Thursday,04 May 2023,Tiger Moms, ,Thursday,04 May 2023,Vegetarianism - Yes or No?
 ,Friday,05 May 2023,Time: My Day, ,Friday,05 May 2023,Neighbors, ,Friday,05 May 2023,Lotteries, ,Friday,05 May 2023,Who Do You Think You Are?
 ,Saturday,06 May 2023,Time: My Day, ,Saturday,06 May 2023,Neighbors, ,Saturday,06 May 2023,Lotteries, ,Saturday,06 May 2023,Who Do You Think You Are?
 ,Monday,08 May 2023,Time: My Week, ,Monday,08 May 2023,Getting Around, ,Monday,08 May 2023,Seeing Is Believing, ,Monday,08 May 2023,Designer Babies
 ,Tuesday,09 May 2023,Time: My Week, ,Tuesday,09 May 2023,Getting Around, ,Tuesday,09 May 2023,Seeing Is Believing, ,Tuesday,09 May 2023,Designer Babies
 ,Wednesday,10 May 2023,Time: My Week, ,Wednesday,10 May 2023,Doing Good, ,Wednesday,10 May 2023,Couch Surfing, ,Wednesday,10 May 2023,Binge-Watching
 ,Thursday,11 May 2023,Time: My Month, ,Thursday,11 May 2023,Doing Good, ,Thursday,11 May 2023,Couch Surfing, ,Thursday,11 May 2023,Binge-Watching
 ,Friday,12 May 2023,Time: My Month, ,Friday,12 May 2023,It's Good to Be Home!, ,Friday,12 May 2023,Bon Appetit!, ,Friday,12 May 2023,Role Models
 ,Saturday,13 May 2023,Time: My Month, ,Saturday,13 May 2023,It's Good to Be Home!, ,Saturday,13 May 2023,Bon Appetit!, ,Saturday,13 May 2023,Role Models
